CFV COINFUND  —  SAM MASTER LIST  |  270-Day Battle Plan (Data Quality Resolved),,,,,,,,,,,,,
"2,144 firms   |   P1: 410   |   P2: 1,339   |   P3: 395   |   Phones: all resolved   |   Est. capital at 20% conversion: $5.97B",,,,,,,,,,,,,
Rank,Priority,Firm Name,City,State,Zip,Phone,AUM,AUM Tier,Est. Commit,Territory,Status,Notes,Address
118,P1,KEC MANAGEMENT L.P.,JUPITER,FL,33477,(561) 299-3261,"$98,055,000",$50-100M,"$2,941,650",Associate 1,,,145 SOUNDINGS AVENUE
119,P1,VESTED,WESTON,FL,33327,(347) 353-8592,"$97,651,913",$50-100M,"$2,929,557",Associate 1,,,1304 CHENILLE CIR
120,P1,OSA CAPITAL LLC,MIAMI,FL,33179,(802) 274-0222,"$97,470,918",$50-100M,"$2,924,128",Associate 1,,,390 NE 191ST ST
121,P1,SIDE DOOR VENTURES,FERNANDINA BEACH,FL,32034,(778) 960-6441,"$97,141,487",$50-100M,"$2,914,245",Associate 1,,,629 S 8TH STREET
122,P1,"RCH CAPITAL, LLC",ST. PETERSBURG,FL,33704,(727) 821-6000,"$97,108,831",$50-100M,"$2,913,265",Associate 1,,,425 22ND AVENUE NORTH
123,P1,MARKLEY CAPITAL MANAGEMENT LP,MIAMI BEACH,FL,33139,(917) 373-7310,"$96,902,657",$50-100M,"$2,907,080",Associate 1,,,1815 PURDY AVE
124,P1,SINO GLOBAL CAPITAL MANAGEMENT LLC,MIAMI,FL,33131,(206) 972-6047,"$96,798,707",$50-100M,"$2,903,961",Associate 1,,,"1111 BRICKELL AVENUE, 10TH FLOOR"
125,P1,"N2 CAPITAL MANAGEMENT, LP",DALLAS,TX,75205,(214) 489-7400,"$96,235,883",$50-100M,"$2,887,076",Associate 1,,,25 HIGHLAND PARK VILLAGE
126,P1,RBI ADVISORS LLC,MIAMI,FL,33180,(800) 668-1004,"$96,000,000",$50-100M,"$2,880,000",Associate 1,,,19495 BISCAYNE BLVD STE 801
127,P1,"MERCATUS PARTNERS, LLC",PARK CITY,UT,84098,(435) 901-4052,"$94,693,036",$50-100M,"$2,840,791",Associate 1,,,4376 FORESTDALE DRIVE
128,P1,DALLAS VENTURE CAPITAL,SOUTHLAKE,TX,75039,(214) 763-8383,"$94,522,247",$50-100M,"$2,835,667",Associate 1,,,508 SILICON DR
129,P1,DILA MC LLC,MIAMI,FL,33131,+5 2552 167 0153,"$94,143,117",$50-100M,"$2,824,294",Associate 1,,,"1200 BRICKELL AVE, SUITE 650"
130,P1,"WEST BROW CAPITAL MANAGEMENT, LLC",CHATTANOOGA,TN,37403,(203) 856-6729,"$94,000,000",$50-100M,"$2,820,000",Associate 1,,,832 GEORGIA AVENUE
131,P1,WAVESLICE FUND,MIAMI,FL,33131,(646) 535-1002,"$93,654,930",$50-100M,"$2,809,648",Associate 1,,,25 SE 2ND AVE STE 550 #766
132,P1,PLAINS VENTURES,OKLAHOMA CITY,OK,73102,(405) 235-2305,"$93,540,363",$50-100M,"$2,806,211",Associate 1,,,201 ROBERT S. KERR AVE.
133,P1,ACCUMULATOR MANAGEMENT I LLC,CORAL GABLES,FL,33134,(305) 813-2420,"$93,180,464",$50-100M,"$2,795,414",Associate 1,,,255 GIRALDA AVENUE
134,P1,AVV,HIGHLAND BEACH,FL,33487,(434) 321-8424,"$92,340,908",$50-100M,"$2,770,227",Associate 1,,,4215 TRANQUILITY DRIVE
135,P1,"LIMESTONE VALUE PARTNERS, LLC",HOUSTON,TX,77056,(346) 575-2361,"$91,703,782",$50-100M,"$2,751,113",Associate 1,,,2 RIVERWAY
136,P1,ATLAS GROVE MANAGEMENT LLC,MIAMI,FL,33143,(305) 990-1714,"$91,299,995",$50-100M,"$2,739,000",Associate 1,,,7301 SW 57TH COURT
137,P1,AVANZ CAPITAL MANAGEMENT LLC,MIAMI,FL,33131,(202) 536-2410,"$90,867,692",$50-100M,"$2,726,031",Associate 1,,,600 BRICKELL AVENUE
138,P1,INFINITE CAPITAL LLC,WEST PALM BEACH,FL,33401,(415) 855-1585,"$90,809,820",$50-100M,"$2,724,295",Associate 1,,,700 S ROSEMARY AVE
139,P1,PLURAL CAPITAL,MIAMI,FL,33179,(757) 513-1432,"$90,790,980",$50-100M,"$2,723,729",Associate 1,,,390 NE 191ST ST
140,P1,TEAKWOOD CAPITAL,COPPELL,TX,75019,(214) 865-9404,"$88,526,664",$50-100M,"$2,655,800",Associate 1,,,106 N. DENTON TAP RD
141,P1,"HALYARD CAPITAL MANAGEMENT, LLC",SARASOTA,FL,34236,(917) 767-3207,"$88,330,080",$50-100M,"$2,649,902",Associate 1,,,1990 MAIN STREET
142,P1,PACENOTE EQUITY,AUSTIN,TX,78703,(732) 742-5112,"$87,575,000",$50-100M,"$2,627,250",Associate 1,,,3200 HILLVIEW RD
143,P1,"CYPRESS GROWTH CAPITAL, LLC",DALLAS,TX,75219,(214) 304-7645,"$86,678,790",$50-100M,"$2,600,364",Associate 1,,,3899 MAPLE AVENUE
